matchid,date,surface,player1_name,player2_name,target,elo_diff,surface_elo_diff,tournament_fatigue_diff,odds_diff,h2h_wins_diff,win_pct_3m_diff,win_pct_6m_diff,dominance_roll_diff,recent_matches_30d_diff,days_since_last_diff,tournament_strength,ace_rate_3m_diff,ace_rate_6m_diff,df_rate_3m_diff,df_rate_6m_diff,bpsaved_rate_3m_diff,bpsaved_rate_6m_diff,bpfaced_rate_3m_diff,bpfaced_rate_6m_diff,first_serve_pct_3m_diff,first_serve_win_pct_3m_diff,second_serve_win_pct_3m_diff,first_serve_win_pct_3m_surface_diff,second_serve_win_pct_3m_surface_diff,recent_form_6matches_diff,avg_elo_faced_diff,elo_first_serve_interaction,avgw,avgl,model_prob_p1,model_prob_p2,implied_prob_p1,implied_prob_p2,prob_diff_p1
22270,2024-01-02,Hard,,,1,-52.41,-76.97,0,3.15,0,0.0,47.83,53.49,0,55,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.25,0.0,1.2,4.35,0.7111563444137573,0.2888436555862427,0.8333333333333334,0.2298850574712644,-0.12217698891957607
22264,2024-01-02,Hard,,,1,45.6,-211.38,0,1.66,0,0.0,-10.0,-6.93,0,64,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.04,0.0,1.37,3.03,0.4290153980255127,0.5709846019744873,0.7299270072992701,0.33003300330033003,-0.3009116092737574
22268,2024-01-02,Hard,,,1,-46.98,142.85,0,1.0,0,0.0,12.5,16.81,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.84,0.0,1.51,2.51,0.5317600488662719,0.46823995113372807,0.6622516556291391,0.39840637450199207,-0.1304916067628672
22266,2024-01-02,Hard,,,0,196.9,46.26,0,-0.85,-1,-37.5,-36.36,1.35,0,109,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,1.56,2.41,0.5985295534133911,0.4014704465866089,0.41493775933609955,0.641025641025641,0.18359179407729154
22237,2024-01-02,Hard,,,0,-21.17,-4.1,0,-1.65,0,-7.14,-9.09,1.36,0,-6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.29,0.0,1.37,3.02,0.4725677609443665,0.5274322390556335,0.33112582781456956,0.7299270072992701,0.14144193312979692
22234,2024-01-02,Hard,,,0,162.85,74.26,0,0.28,0,28.57,60.87,-14.67,0,-260,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.82,0.0,2.04,1.76,0.7141120791435241,0.28588792085647585,0.5681818181818182,0.49019607843137253,0.14593026096170592
22233,2024-01-02,Hard,,,1,-94.94,-125.82,0,-2.94,0,-14.28,-27.08,0.79,0,-5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,4.16,1.22,0.44197785258293154,0.5580221474170685,0.24038461538461536,0.819672131147541,0.20159323719831618
22244,2024-01-03,Hard,,,1,-134.79,-79.87,0,-0.01,-2,57.14,2.21,4.89,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.29,0.0,1.89,1.88,0.3016645312309265,0.6983354687690735,0.5291005291005292,0.5319148936170213,-0.22743599786960267
22278,2024-01-04,Hard,,,1,506.43,309.13,0,5.96,0,-35.29,4.71,7.87,-1,46,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.17,0.0,1.09,7.05,0.7402541518211365,0.2597458481788635,0.9174311926605504,0.14184397163120568,-0.17717704083941388
22281,2024-01-05,Hard,,,0,94.11,91.77,0,2.22,2,-57.14,2.63,4.72,-1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.62,0.0,3.51,1.29,0.6577469706535339,0.34225302934646606,0.7751937984496123,0.2849002849002849,-0.1174468277960784
22252,2024-01-05,Hard,,,0,100.55,124.19,0,-1.57,0,11.11,4.55,0.73,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.87,0.0,1.39,2.96,0.550483500957489,0.449516499042511,0.33783783783783783,0.7194244604316548,0.21264566311965116
22254,2024-01-05,Hard,,,0,-147.31,-143.24,0,-4.75,0,-30.0,-17.64,-8.48,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-204.28,0.0,1.13,5.88,0.287315645813942,0.712684354186058,0.17006802721088435,0.8849557522123894,0.11724761860305763
22284,2024-01-06,Hard,,,1,268.7,182.54,0,4.12,0,-31.58,11.16,-0.04,-1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.82,0.0,1.15,5.27,0.7439533114433289,0.2560466885566711,0.8695652173913044,0.18975332068311196,-0.12561190594797556
22258,2024-01-07,Hard,,,0,-16.17,-38.69,0,0.07,0,-14.58,-24.19,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.06,0.0,1.93,1.86,0.3982527256011963,0.6017472743988037,0.5376344086021505,0.5181347150259068,-0.13938168300095422
22319,2024-01-08,Hard,,,1,-135.38,-23.56,0,-1.17,0,33.33,-36.11,1.47,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.71,0.0,2.64,1.47,0.5191822528839112,0.4808177471160888,0.3787878787878788,0.6802721088435374,0.1403943740960324
