Player,Overall Elo,Hard Elo,Clay Elo,Grass Elo,Last Match,Matches Last 6M,Career Matches,Avg Elo Faced,Matches vs Top 20,Winrate vs Top 20,Matches vs Top 50,Winrate vs Top 50
Basilashvili N.,1303.1,1307.53,1322.5,1352.21,2025-01-31,0,110,1495.5,0,0.0,13,0.23
Ruusuvuori E.,1455.79,1496.45,1409.55,1441.04,2024-07-31,0,177,1517.42,3,0.0,34,0.26
Vesely J.,1313.02,1325.41,1307.17,1354.22,2024-01-16,0,52,1509.96,0,0.0,4,0.5
Bublik A.,1516.95,1497.89,1454.0,1565.06,2025-01-31,0,214,1493.73,1,0.0,32,0.25
Goffin D.,1492.63,1481.8,1512.09,1498.74,2025-01-29,0,134,1519.77,2,0.5,17,0.24
Herbert P.H.,1311.13,1341.07,1301.51,1311.68,2024-11-06,0,36,1505.74,1,0.0,1,0.0
Travaglia S.,1228.95,1267.96,1244.79,1266.48,2023-08-28,0,42,1510.42,0,0.0,2,0.0
Kecmanovic M.,1506.24,1507.17,1521.21,1477.85,2025-01-18,0,214,1551.86,4,0.0,43,0.23
Korda S.,1640.8,1612.45,1499.45,1528.89,2025-01-15,0,195,1519.74,10,0.2,47,0.32
Kwon S.W.,1389.14,1407.28,1394.63,1401.73,2024-08-26,0,89,1521.17,0,0.0,15,0.07
Paul T.,1671.03,1634.68,1480.5,1555.85,2025-01-21,0,242,1540.0,10,0.2,47,0.38
Monteiro T.,1399.34,1417.1,1451.64,1426.2,2025-01-12,0,103,1495.27,1,1.0,10,0.3
Mcdonald M.,1407.88,1465.87,1403.11,1443.22,2024-08-27,0,166,1533.73,2,0.0,29,0.21
Fratangelo B.,1186.44,1198.92,1190.84,1186.44,2023-08-01,0,9,1522.95,0,0.0,1,0.0
Norrie C.,1622.81,1563.79,1548.04,1510.98,2025-01-14,0,237,1496.07,5,0.0,42,0.21
Andujar P.,1283.63,1309.04,1313.58,1333.43,2023-04-17,0,54,1514.9,1,0.0,5,0.0
Etcheverry T.,1489.61,1427.93,1506.05,1476.1,2025-01-16,0,135,1502.68,5,0.0,25,0.12
Galan D.E.,1326.11,1392.35,1372.31,1452.2,2024-07-30,0,96,1474.67,0,0.0,5,0.2
Martin A.,1189.07,1203.6,1223.46,1189.07,2024-07-24,0,22,1496.99,0,0.0,1,0.0
Fognini F.,1456.28,1439.22,1507.71,1509.35,2024-11-05,0,130,1506.33,0,0.0,19,0.16
Kuzmanov D.,1168.31,1149.83,1310.78,1168.31,2023-11-07,0,8,1435.65,0,0.0,0,0.0
Djere L.,1472.39,1483.12,1511.19,1478.08,2024-11-08,0,177,1480.17,3,0.0,25,0.04
Struff J.L.,1561.22,1444.32,1588.72,1528.17,2025-01-13,0,146,1555.22,6,0.0,32,0.31
Kotov P.,1420.84,1396.23,1524.24,1500.37,2025-01-13,0,79,1477.83,2,0.0,9,0.11
Gerasimov E.,1253.84,1264.09,1283.08,1293.43,2024-10-02,0,53,1507.96,0,0.0,3,0.0
Grenier H.,1278.81,1297.06,1376.02,1399.15,2024-08-26,0,23,1474.37,0,0.0,5,0.2
Molcan A.,1376.82,1337.99,1413.57,1358.2,2024-02-26,0,87,1538.43,0,0.0,17,0.06
Berrettini M.,1718.07,1487.07,1584.47,1546.97,2025-01-16,0,145,1561.52,2,0.0,28,0.36
Chardy J.,1253.96,1282.42,1226.98,1233.4,2023-07-04,0,38,1571.57,1,0.0,3,0.0
Albot R.,1362.18,1428.91,1424.27,1413.31,2024-08-27,0,69,1552.39,1,0.0,7,0.0
De Minaur A.,1758.56,1666.79,1523.01,1568.76,2025-01-22,0,238,1640.48,16,0.19,60,0.35
Tiafoe F.,1598.23,1573.46,1496.96,1527.82,2025-01-16,0,225,1536.75,4,0.0,42,0.4
Garin C.,1512.3,1461.75,1538.19,1512.35,2025-01-16,0,129,1540.85,3,0.33,22,0.14
Isner J.,1414.67,1393.06,1387.23,1368.24,2023-08-31,0,93,1486.02,0,0.0,15,0.33
Hurkacz H.,1717.3,1634.63,1535.95,1546.72,2025-01-16,0,234,1528.77,8,0.12,50,0.32
Mannarino A.,1419.0,1484.43,1406.81,1527.77,2025-01-28,0,196,1507.77,4,0.25,30,0.27
Vukic A.,1462.7,1453.26,1484.32,1466.89,2025-01-17,0,98,1538.4,3,0.0,18,0.28
Majchrzak K.,1277.12,1292.25,1293.79,1302.16,2025-01-14,0,38,1512.14,0,0.0,2,0.0
Uchiyama Y.,1200.65,1222.24,1231.26,1225.2,2024-09-22,0,17,1510.08,0,0.0,1,1.0
Cilic M.,1499.22,1448.3,1408.19,1439.42,2024-11-05,0,116,1482.15,1,0.0,19,0.21
Berankis R.,1262.43,1294.73,1270.19,1280.82,2023-06-13,0,49,1533.95,0,0.0,6,0.0
Nagal S.,1248.28,1233.99,1303.82,1497.4,2025-01-12,0,31,1488.49,0,0.0,2,0.0
Bolt A.,1318.27,1318.49,1318.27,1316.71,2024-07-19,0,24,1537.24,0,0.0,3,0.0
Kokkinakis T.,1516.7,1526.4,1486.25,1504.04,2025-01-15,0,94,1549.1,3,0.0,24,0.17
Ramos-Vinolas A.,1326.2,1370.07,1442.67,1417.28,2024-08-26,0,147,1500.86,1,0.0,16,0.06
Kubler J.,1342.28,1293.37,1309.29,1429.84,2024-01-14,0,49,1486.75,0,0.0,8,0.12
Sonego L.,1505.61,1507.28,1486.31,1512.02,2025-01-22,0,212,1502.7,6,0.0,44,0.18
Fucsovics M.,1520.5,1488.81,1505.74,1525.95,2024-11-04,0,149,1552.98,3,0.0,31,0.23
Cecchinato M.,1290.28,1308.85,1362.63,1351.28,2023-08-28,0,74,1488.85,0,0.0,2,0.0
Coria F.,1382.15,1412.02,1492.21,1477.91,2025-01-14,0,106,1474.28,0,0.0,10,0.2
Gasquet R.,1416.46,1463.31,1462.32,1490.84,2025-01-30,0,130,1510.95,3,0.0,19,0.21
Polmans M.,1200.23,1198.5,1241.04,1236.66,2024-07-16,0,12,1492.66,0,0.0,1,0.0
Sousa P.,1152.4,1183.65,1175.29,1193.67,2023-04-04,0,11,1502.62,0,0.0,0,0.0
Tu L.,1221.12,1223.52,1221.12,1253.5,2025-01-12,0,13,1505.33,1,0.0,1,0.0
Ymer M.,1346.76,1360.55,1342.16,1352.9,2023-07-07,0,98,1523.19,0,0.0,12,0.08
Moutet C.,1447.41,1481.3,1481.37,1484.74,2025-01-18,0,105,1480.9,2,0.0,10,0.1
Harris L.,1363.87,1393.69,1349.43,1387.23,2024-07-04,0,92,1491.86,1,0.0,11,0.09
O Connell C.,1421.55,1470.01,1461.21,1490.33,2025-01-13,0,116,1530.97,4,0.0,19,0.05
Koepfer D.,1413.53,1447.5,1407.68,1395.52,2025-01-29,0,101,1523.33,3,0.0,17,0.12
Purcell M.,1376.29,1380.46,1385.46,1411.74,2024-08-29,0,78,1499.32,1,0.0,12,0.17
Carballes Baena R.,1449.26,1464.22,1506.16,1478.88,2025-01-17,0,156,1523.49,5,0.0,27,0.07
Anderson K.,1258.88,1212.24,1260.72,1296.47,2023-08-01,0,36,1499.93,0,0.0,1,0.0
Lopez F.,1237.57,1282.59,1319.77,1340.43,2023-06-29,0,47,1493.72,0,0.0,1,0.0
Evans D.,1421.92,1488.12,1455.26,1478.54,2024-10-17,0,161,1523.28,3,0.0,32,0.25
Giron M.,1504.25,1523.39,1456.65,1524.2,2025-01-18,0,198,1578.53,5,0.0,40,0.28
Daniel T.,1358.37,1411.97,1473.11,1473.29,2025-01-13,0,106,1475.14,2,0.0,19,0.16
