event_id,event_name,date,time_utc,runnerid1,runnername1,runnerid2,runnername2,runner,runner_id,is_runner1,opening_odds,odds_25pct,odds_50pct,odds_75pct,closing_odds,num_updates,record_id
27731263,Olga Saez Larra v Kathinka VON Deichmann,2016-03-20,10:43:59,10607558,Kathinka Von Deichmann,8501973,Olga Saez Larra,Olga Saez Larra,8501973,FALSE,1.81,2.36,6.4,2.28,6,103,2016_1
27731263,Olga Saez Larra v Kathinka VON Deichmann,2016-03-20,10:43:59,10607558,Kathinka Von Deichmann,8501973,Olga Saez Larra,Kathinka Von Deichmann,10607558,TRUE,2.34,1.61,1.22,1.71,1.01,109,2016_2
27731404,Ze Zhang v Lacko,2016-03-20,8:15:00,2263634,Lukas Lacko,5021895,Ze Zhang,Lukas Lacko,2263634,TRUE,1.9,1.83,1.74,1.71,1.68,19,2016_3
27731404,Ze Zhang v Lacko,2016-03-20,8:15:00,2263634,Lukas Lacko,5021895,Ze Zhang,Ze Zhang,5021895,FALSE,2.1,2.2,2.4,2.4,2.46,14,2016_4
27730944,Michal Konecny v Vadym Ursu,2016-03-20,10:43:59,8522533,Michal Konecny,8490625,Vadym Ursu,Michal Konecny,8522533,TRUE,1.39,1.4,1.3,1.18,1.01,37,2016_5
27730944,Michal Konecny v Vadym Ursu,2016-03-20,10:43:59,8522533,Michal Konecny,8490625,Vadym Ursu,Vadym Ursu,8490625,FALSE,4.4,2.92,2.92,6.2,210,23,2016_6
27730852,Lopez-Perez v Lee,2016-03-20,4:00:00,8257792,Enrique Lopez-Perez,9633956,Kuan-Yi Lee,Kuan-Yi Lee,9633956,FALSE,6,,,,6,0,2016_7
27730852,Lopez-Perez v Lee,2016-03-20,4:00:00,8257792,Enrique Lopez-Perez,9633956,Kuan-Yi Lee,Enrique Lopez-Perez,8257792,TRUE,1.1,,,,1.1,0,2016_8
27730824,H Zeballos v Jaziri,2016-03-19,12:00:00,3506037,Horacio Zeballos,5776215,Malek Jaziri,Malek Jaziri,5776215,FALSE,1.63,1.73,1.8,1.67,1.7,12,2016_9
27730824,H Zeballos v Jaziri,2016-03-19,12:00:00,3506037,Horacio Zeballos,5776215,Malek Jaziri,Horacio Zeballos,3506037,TRUE,2.56,2.26,2.26,2.42,2.42,10,2016_10
27730846,Ar Smirnov v Prashanth,2016-03-20,4:00:00,3813051,Artem Smirnov,9127829,N Vijay Sundar Prashant,N Vijay Sundar Prashant,9127829,FALSE,2.86,,,,2.86,0,2016_11
27730870,Aox Wang v Desein,2016-03-20,4:00:00,8812604,Aoxiong Wang,7234512,Niels Desein,Niels Desein,7234512,FALSE,1.08,1.13,1.13,1.08,1.12,4,2016_12
27730870,Aox Wang v Desein,2016-03-20,4:00:00,8812604,Aoxiong Wang,7234512,Niels Desein,Aoxiong Wang,8812604,TRUE,8.8,9.4,9.4,13.5,9.4,3,2016_13
27730813,Pospisil/Sock v Herbert/Mahut,2016-03-20,1:11:00,8942538,Herbert/Mahut,8638693,Pospisil/Sock,Herbert/Mahut,8942538,TRUE,2.2,2.24,2.2,2.06,2.3,5,2016_14
27730813,Pospisil/Sock v Herbert/Mahut,2016-03-20,1:11:00,8942538,Herbert/Mahut,8638693,Pospisil/Sock,Pospisil/Sock,8638693,FALSE,1.83,1.8,1.83,1.81,1.77,8,2016_15
27730924,Yua Li v Neuchrist,2016-03-20,4:15:00,7797896,Maximilian Neuchrist,8475993,Yuanfeng Li,Yuanfeng Li,8475993,FALSE,14,,,,14,0,2016_16
27730924,Yua Li v Neuchrist,2016-03-20,4:15:00,7797896,Maximilian Neuchrist,8475993,Yuanfeng Li,Maximilian Neuchrist,7797896,TRUE,1.06,1.08,1.08,1.08,1.05,2,2016_17
27731266,G Mina v Mena,2016-03-20,18:00:00,8700270,Facundo Mena,4720523,Gianni Mina,Facundo Mena,8700270,TRUE,1.7,1.53,1.53,1.7,1.7,2,2016_18
27731266,G Mina v Mena,2016-03-20,18:00:00,8700270,Facundo Mena,4720523,Gianni Mina,Gianni Mina,4720523,FALSE,2.42,2.44,2.44,2.44,2.44,1,2016_19
27731266,G Mina v Mena,2016-03-20,17:00:00,8700270,Facundo Mena,4720523,Gianni Mina,Gianni Mina,4720523,FALSE,3.05,,,,3.05,0,2016_20
27730834,Reuter v Sharan,2016-03-19,21:00:00,8292579,Divij Sharan,8461638,Yannik Reuter,Yannik Reuter,8461638,FALSE,1.12,1.21,1.21,1.14,1.15,3,2016_21
27730834,Reuter v Sharan,2016-03-19,21:00:00,8292579,Divij Sharan,8461638,Yannik Reuter,Divij Sharan,8292579,TRUE,9.4,5.8,5.8,5.6,5.6,2,2016_22
27730851,Copil v Sonego,2016-03-20,4:15:00,8826925,Lorenzo Sonego,4195870,Marius Copil,Lorenzo Sonego,8826925,TRUE,2.96,,,,2.96,0,2016_23
27730851,Copil v Sonego,2016-03-20,4:15:00,8826925,Lorenzo Sonego,4195870,Marius Copil,Marius Copil,4195870,FALSE,1.37,1.41,1.41,1.41,1.41,1,2016_24
27730869,Satral v Krawietz,2016-03-20,2:30:00,8490613,Jan Satral,4061310,Kevin Krawietz,Kevin Krawietz,4061310,FALSE,2.66,2.62,2.62,2.62,2.62,1,2016_25
27730869,Satral v Krawietz,2016-03-20,2:30:00,8490613,Jan Satral,4061310,Kevin Krawietz,Jan Satral,8490613,TRUE,1.43,,,,1.43,0,2016_26
27730842,Manzo Monsech v Mantilla,2016-03-19,21:00:00,7430576,Felipe Mantilla,9362464,Rodrigo Manzo Monsech,Felipe Mantilla,7430576,TRUE,1.08,1.05,1.1,1.07,1.04,8,2016_27
27730842,Manzo Monsech v Mantilla,2016-03-19,21:00:00,7430576,Felipe Mantilla,9362464,Rodrigo Manzo Monsech,Rodrigo Manzo Monsech,9362464,FALSE,13.5,12,11,17,18,4,2016_28
27731308,Stanek v Opelka,2016-03-20,18:00:00,8859316,Reilly Opelka,8599863,Robin Stanek,Reilly Opelka,8859316,TRUE,3.05,,,,3.05,0,2016_29
27731308,Stanek v Opelka,2016-03-20,18:45:00,8859316,Reilly Opelka,8599863,Robin Stanek,Robin Stanek,8599863,FALSE,1.54,1.69,1.69,1.69,1.69,1,2016_30
27731308,Stanek v Opelka,2016-03-20,18:45:00,8859316,Reilly Opelka,8599863,Robin Stanek,Reilly Opelka,8859316,TRUE,2.46,2.44,2.44,2.44,2.44,1,2016_31
27730816,Sarkissian v St Robert,2016-03-19,0:00:00,8734382,Alexander Sarkissian,4422812,Stephane Robert,Alexander Sarkissian,8734382,TRUE,2.86,3,3,2.94,3,7,2016_32
27730816,Sarkissian v St Robert,2016-03-19,0:00:00,8734382,Alexander Sarkissian,4422812,Stephane Robert,Stephane Robert,4422812,FALSE,1.5,1.51,1.51,1.51,1.5,11,2016_33
27730816,Sarkissian v St Robert,2016-03-20,0:00:00,8734382,Alexander Sarkissian,4422812,Stephane Robert,Alexander Sarkissian,8734382,TRUE,3.2,3.05,3.05,3.05,3.05,1,2016_34
27730816,Sarkissian v St Robert,2016-03-20,0:00:00,8734382,Alexander Sarkissian,4422812,Stephane Robert,Stephane Robert,4422812,FALSE,1.47,1.49,1.49,1.49,1.49,1,2016_35
27730843,Resendiz Dominguez v Galan,2016-03-19,21:00:00,8860646,Daniel Elahi Galan,9377210,Mauricio Resendiz Domin,Mauricio Resendiz Domin,9377210,FALSE,6.6,15,15,15,15,1,2016_36
27730843,Resendiz Dominguez v Galan,2016-03-19,21:00:00,8860646,Daniel Elahi Galan,9377210,Mauricio Resendiz Domin,Daniel Elahi Galan,8860646,TRUE,1.17,1.07,1.07,1.07,1.07,1,2016_37
27731307,M Delic v Mager,2016-03-20,18:00:00,8284482,Gianluca Mager,5704646,Mate Delic,Mate Delic,5704646,FALSE,1.61,1.72,1.66,1.66,1.64,9,2016_38
27731307,M Delic v Mager,2016-03-20,18:00:00,8284482,Gianluca Mager,5704646,Mate Delic,Gianluca Mager,8284482,TRUE,2.38,2.22,2.22,2.22,2.42,6,2016_39
27731281,Monroe/Qureshi v Guccione/Sa,2016-03-20,17:00:00,9378423,Guccione/Sa,10925736,Monroe/Qureshi,Monroe/Qureshi,10925736,FALSE,1.88,2,2,2,1.98,2,2016_40
27731281,Monroe/Qureshi v Guccione/Sa,2016-03-20,17:00:00,9378423,Guccione/Sa,10925736,Monroe/Qureshi,Guccione/Sa,9378423,TRUE,1.99,1.98,1.98,1.98,2.02,2,2016_41
27729813,Basilashvili v Skugor,2016-03-18,11:35:00,2862839,Franko Skugor,8257807,Nikoloz Basilashvili,Franko Skugor,2862839,TRUE,1.85,1.73,1.9,1.97,1.94,61,2016_42
27729813,Basilashvili v Skugor,2016-03-18,11:35:00,2862839,Franko Skugor,8257807,Nikoloz Basilashvili,Nikoloz Basilashvili,8257807,FALSE,2.48,2.28,2.1,2.04,2,69,2016_43
27730906,Jim Wang v Eremin,2016-03-20,4:00:00,8284480,Edoardo Eremin,5377090,Jimmy Wang,Edoardo Eremin,8284480,TRUE,2.52,,,,2.52,0,2016_44
27728121,Coppejans v Soeda,2016-03-17,6:30:00,2249835,Go Soeda,7364095,Kimmer Coppejans,Kimmer Coppejans,7364095,FALSE,2.3,2.2,2.2,2.28,2.12,10,2016_45
27728121,Coppejans v Soeda,2016-03-17,6:30:00,2249835,Go Soeda,7364095,Kimmer Coppejans,Go Soeda,2249835,TRUE,1.68,1.76,1.76,1.76,1.9,5,2016_46
27728128,Skugor v Fabbiano,2016-03-17,8:00:00,2862839,Franko Skugor,3019240,Thomas Fabbiano,Franko Skugor,2862839,TRUE,3,2.24,2.5,2.66,2.48,15,2016_47
27728128,Skugor v Fabbiano,2016-03-17,8:00:00,2862839,Franko Skugor,3019240,Thomas Fabbiano,Thomas Fabbiano,3019240,FALSE,1.5,1.51,1.66,1.59,1.63,22,2016_48
27727996,Polansky v Van Rijthoven,2016-03-17,12:00:00,2504190,Peter Polansky,8681938,Tim Van Rijthoven,Peter Polansky,2504190,TRUE,1.47,1.42,1.39,1.4,1.39,15,2016_49
27727996,Polansky v Van Rijthoven,2016-03-17,12:00:00,2504190,Peter Polansky,8681938,Tim Van Rijthoven,Tim Van Rijthoven,8681938,FALSE,3.3,3.6,3.6,3.6,3.4,3,2016_50
27727996,Polansky v Van Rijthoven,2016-03-18,12:00:00,2504190,Peter Polansky,8681938,Tim Van Rijthoven,Tim Van Rijthoven,8681938,FALSE,3.2,,,,3.2,0,2016_51
27726936,Murray/Soares v Lopez/Lopez,2016-03-16,19:00:00,2010693,Lopez/Lopez,10682718,Murray/Soares,Murray/Soares,10682718,FALSE,1.67,1.91,1.67,1.65,1.83,24,2016_52
27726936,Murray/Soares v Lopez/Lopez,2016-03-16,19:00:00,2010693,Lopez/Lopez,10682718,Murray/Soares,Lopez/Lopez,2010693,TRUE,2.1,2.34,2.34,2.34,2.2,13,2016_53
27726936,Murray/Soares v Lopez/Lopez,2016-03-17,19:00:00,2010693,Lopez/Lopez,10682718,Murray/Soares,Lopez/Lopez,2010693,TRUE,2.38,2.36,2.36,2.36,2.28,2,2016_54
27726936,Murray/Soares v Lopez/Lopez,2016-03-17,19:00:00,2010693,Lopez/Lopez,10682718,Murray/Soares,Murray/Soares,10682718,FALSE,1.72,1.63,1.63,1.63,1.79,3,2016_55
27729384,J Donaldson v Rublev,2016-03-18,20:00:00,7797771,Andrey Rublev,7413423,Jared Donaldson,Andrey Rublev,7797771,TRUE,1.61,1.75,1.76,1.67,1.63,36,2016_56
27729384,J Donaldson v Rublev,2016-03-18,20:00:00,7797771,Andrey Rublev,7413423,Jared Donaldson,Jared Donaldson,7413423,FALSE,2.22,2.28,2.3,2.5,2.52,18,2016_57
27728097,Bester/Polansky v Evans/Glasspool,2016-03-18,12:00:00,10029195,Bester/Polansky,10919676,Evans/Glasspool,Bester/Polansky,10029195,TRUE,1.4,1.44,1.44,1.44,1.44,1,2016_58
27728097,Bester/Polansky v Evans/Glasspool,2016-03-18,12:00:00,10029195,Bester/Polansky,10919676,Evans/Glasspool,Evans/Glasspool,10919676,FALSE,2.68,,,,2.68,0,2016_59
27729312,Marine Partaud v Anna Klasen,2016-03-18,10:43:59,9148883,Anna Klasen,9306686,Marine Partaud,Marine Partaud,9306686,FALSE,1.81,1.8,1.37,1.06,1.01,74,2016_60
27729312,Marine Partaud v Anna Klasen,2016-03-18,10:43:59,9148883,Anna Klasen,9306686,Marine Partaud,Anna Klasen,9148883,TRUE,2.24,2.24,3.5,26,130,64,2016_61
27729315,Laura Schaeder v Giorgia Marchetti,2016-03-18,10:43:59,9627285,Giorgia Marchetti,7216212,Laura Schaeder,Laura Schaeder,7216212,FALSE,1.4,,,,1.4,0,2016_62
27729315,Laura Schaeder v Giorgia Marchetti,2016-03-18,10:43:59,9627285,Giorgia Marchetti,7216212,Laura Schaeder,Giorgia Marchetti,9627285,TRUE,2.52,,,,2.52,0,2016_63
27729382,Al Bedene v Tiafoe,2016-03-18,12:00:00,5706996,Aljaz Bedene,9399490,Frances Tiafoe,Aljaz Bedene,5706996,TRUE,1.7,1.73,1.81,1.81,1.8,29,2016_64
27729382,Al Bedene v Tiafoe,2016-03-18,12:00:00,5706996,Aljaz Bedene,9399490,Frances Tiafoe,Frances Tiafoe,9399490,FALSE,2.22,2.24,2.24,2.24,2.22,19,2016_65
27728062,H Zeballos v Bourgue,2016-03-17,12:00:00,3506037,Horacio Zeballos,7066925,Mathias Bourgue,Horacio Zeballos,3506037,TRUE,1.62,1.67,1.64,1.54,1.55,10,2016_66
27728062,H Zeballos v Bourgue,2016-03-17,12:00:00,3506037,Horacio Zeballos,7066925,Mathias Bourgue,Mathias Bourgue,7066925,FALSE,2.78,2.82,2.82,2.82,2.82,3,2016_67
27728062,H Zeballos v Bourgue,2016-03-17,0:00:00,3506037,Horacio Zeballos,7066925,Mathias Bourgue,Mathias Bourgue,7066925,FALSE,3.1,,,,3.1,0,2016_68
27728065,Groenefeld/Melichar v Chuang/Liang,2016-03-17,1:00:00,8844673,Chuang/Liang,10923013,Groenefeld/Melichar,Groenefeld/Melichar,10923013,FALSE,2.14,2.28,2.28,2.28,2.28,1,2016_69
27728065,Groenefeld/Melichar v Chuang/Liang,2016-03-17,1:00:00,8844673,Chuang/Liang,10923013,Groenefeld/Melichar,Chuang/Liang,8844673,TRUE,1.78,,,,1.78,0,2016_70
27728098,Schwartzman v G Muller,2016-03-17,22:00:00,8736474,Diego Schwartzman,2248579,Gilles Muller,Diego Schwartzman,8736474,TRUE,3.55,3.6,4.1,3.85,3.75,6,2016_71
27728098,Schwartzman v G Muller,2016-03-17,22:00:00,8736474,Diego Schwartzman,2248579,Gilles Muller,Gilles Muller,2248579,FALSE,1.37,1.3,1.3,1.33,1.33,16,2016_72
27728098,Schwartzman v G Muller,2016-03-17,21:52:00,8736474,Diego Schwartzman,2248579,Gilles Muller,Gilles Muller,2248579,FALSE,1.32,1.33,1.33,1.33,1.33,1,2016_73
27726952,Jaziri v Matosevic,2016-03-16,12:00:00,5776215,Malek Jaziri,4423909,Marinko Matosevic,Marinko Matosevic,4423909,FALSE,1.76,1.65,1.81,1.71,1.9,20,2016_74
27726952,Jaziri v Matosevic,2016-03-16,12:00:00,5776215,Malek Jaziri,4423909,Marinko Matosevic,Malek Jaziri,5776215,TRUE,2.3,2.22,2.24,2.1,2.08,13,2016_75
27726952,Jaziri v Matosevic,2016-03-17,12:00:00,5776215,Malek Jaziri,4423909,Marinko Matosevic,Marinko Matosevic,4423909,FALSE,1.74,1.76,1.76,1.76,1.76,1,2016_76
27726952,Jaziri v Matosevic,2016-03-17,12:00:00,5776215,Malek Jaziri,4423909,Marinko Matosevic,Malek Jaziri,5776215,TRUE,2.36,,,,2.36,0,2016_77
27727041,Rybarikova v Azarenka,2016-03-17,19:00:00,2548763,Magdalena Rybarikova,2263640,Victoria Azarenka,Magdalena Rybarikova,2548763,TRUE,8.4,8.2,8.2,8.2,9.4,3,2016_78
27727041,Rybarikova v Azarenka,2016-03-17,19:00:00,2548763,Magdalena Rybarikova,2263640,Victoria Azarenka,Victoria Azarenka,2263640,FALSE,1.17,1.12,1.12,1.12,1.12,1,2016_79
27727041,Rybarikova v Azarenka,2016-03-18,0:00:00,2548763,Magdalena Rybarikova,2263640,Victoria Azarenka,Victoria Azarenka,2263640,FALSE,1.15,1.15,1.16,1.15,1.11,81,2016_80
27727041,Rybarikova v Azarenka,2016-03-18,0:00:00,2548763,Magdalena Rybarikova,2263640,Victoria Azarenka,Magdalena Rybarikova,2548763,TRUE,8,7.8,7.6,7.8,9.2,49,2016_81
27728689,Danylo Kalenichenko v David Poljak,2016-03-18,10:43:59,9624114,Danylo Kalenichenko,8574184,David Poljak,Danylo Kalenichenko,9624114,TRUE,1.38,2,1.28,1.16,1.01,36,2016_82
27728689,Danylo Kalenichenko v David Poljak,2016-03-18,10:43:59,9624114,Danylo Kalenichenko,8574184,David Poljak,David Poljak,8574184,FALSE,2,2.42,4.2,21,21,11,2016_83
27728014,Doi v S Crawford,2016-03-17,23:00:00,4729711,Misaki Doi,6603928,Samantha Crawford,Misaki Doi,4729711,TRUE,1.82,1.83,1.9,1.87,1.82,45,2016_84
